,strikePrice,expiryDate,PE,CE
0,12000,31-Dec-2026,"{'strikePrice': 12000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE12000.00', 'openInterest': 13.666666666666666, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 150, 'totalSellQuantity': 0, 'bidQty': 75, 'bidprice': 20.05, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
1,13000,24-Dec-2025,"{'strikePrice': 13000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE13000.00', 'openInterest': 51, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3750, 'totalSellQuantity': 0, 'bidQty': 75, 'bidprice': 6.7, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
2,13000,31-Dec-2026,"{'strikePrice': 13000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE13000.00', 'openInterest': 27, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1875, 'totalSellQuantity': 0, 'bidQty': 75, 'bidprice': 20.05, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
3,14000,26-Jun-2025,"{'strikePrice': 14000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025PE14000.00', 'openInterest': 72.66666666666667, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 4, 'impliedVolatility': 36.61, 'lastPrice': 4.75, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 14250, 'totalSellQuantity': 5325, 'bidQty': 1500, 'bidprice': 3.15, 'askQty': 225, 'askPrice': 4, 'underlyingValue': 22508.75}",
4,14000,25-Jun-2026,"{'strikePrice': 14000, 'expiryDate': '25-Jun-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-06-2026PE14000.00', 'openInterest': 14.333333333333334, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 975, 'totalSellQuantity': 0, 'bidQty': 150, 'bidprice': 20.05, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
5,14000,31-Dec-2026,"{'strikePrice': 14000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE14000.00', 'openInterest': 20.666666666666668, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 900, 'totalSellQuantity': 0, 'bidQty': 150, 'bidprice': 20.35, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
6,15000,26-Jun-2025,"{'strikePrice': 15000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025PE15000.00', 'openInterest': 87.33333333333333, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 11625, 'totalSellQuantity': 3600, 'bidQty': 75, 'bidprice': 5.1, 'askQty': 150, 'askPrice': 11, 'underlyingValue': 22508.75}",
7,15000,24-Dec-2025,"{'strikePrice': 15000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE15000.00', 'openInterest': 25.333333333333332, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3750, 'totalSellQuantity': 0, 'bidQty': 1500, 'bidprice': 20.05, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
8,15000,25-Jun-2026,"{'strikePrice': 15000, 'expiryDate': '25-Jun-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-06-2026PE15000.00', 'openInterest': 13.333333333333334, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 150, 'totalSellQuantity': 0, 'bidQty': 150, 'bidprice': 20.4, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
9,15000,31-Dec-2026,"{'strikePrice': 15000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE15000.00', 'openInterest': 30.333333333333332, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 2325, 'totalSellQuantity': 0, 'bidQty': 75, 'bidprice': 21.5, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
10,15000,30-Dec-2027,"{'strikePrice': 15000, 'expiryDate': '30-Dec-2027', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY30-12-2027PE15000.00', 'openInterest': 6.333333333333333, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 450, 'totalSellQuantity': 0, 'bidQty': 150, 'bidprice': 24.9, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
11,16000,26-Jun-2025,"{'strikePrice': 16000, 'expiryDate': '26-Jun-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY26-06-2025PE16000.00', 'openInterest': 255, 'changeinOpenInterest': 4, 'pchangeinOpenInterest': 1.593625498007968, 'totalTradedVolume': 16, 'impliedVolatility': 29.56, 'lastPrice': 8.5, 'change': -0.09999999999999964, 'pChange': -1.1627906976744147, 'totalBuyQuantity': 12450, 'totalSellQuantity': 3300, 'bidQty': 750, 'bidprice': 8, 'askQty': 300, 'askPrice': 8.55, 'underlyingValue': 22508.75}",
12,16000,24-Dec-2025,"{'strikePrice': 16000, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE16000.00', 'openInterest': 30.333333333333332, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 3975, 'totalSellQuantity': 0, 'bidQty': 1650, 'bidprice': 20.25, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
13,16000,25-Jun-2026,"{'strikePrice': 16000, 'expiryDate': '25-Jun-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-06-2026PE16000.00', 'openInterest': 16.333333333333332, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 900, 'totalSellQuantity': 0, 'bidQty': 825, 'bidprice': 21.75, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
14,16000,31-Dec-2026,"{'strikePrice': 16000, 'expiryDate': '31-Dec-2026', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-12-2026PE16000.00', 'openInterest': 32.333333333333336, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1200, 'totalSellQuantity': 0, 'bidQty': 750, 'bidprice': 25.45, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
15,16500,24-Dec-2025,"{'strikePrice': 16500, 'expiryDate': '24-Dec-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-12-2025PE16500.00', 'openInterest': 36.666666666666664, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 2400, 'totalSellQuantity': 0, 'bidQty': 600, 'bidprice': 20.75, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 22508.75}",
